0,1,2,3,4
3.879716569369704e-05,4.4638237840102365e-05,4.583869913218382e-05,4.5643121121744785e-05,3.895420932693619e-05
2.352594089936948e-05,2.9811402656464123e-05,2.6796683139302944e-05,3.011057610122707e-05,2.8566420173086537e-05
2.1874997678361096e-05,3.864441085097201e-05,4.0410432129688364e-05,4.312667528043186e-05,3.4409551572126964e-05
2.79009404350417e-05,3.4149040609124246e-05,3.756705417600027e-05,3.332121389876425e-05,3.083874905049115e-05
3.566037357378111e-05,3.840781241719055e-05,3.929031354187184e-05,4.572989511627281e-05,4.885507086419913e-05
2.6415091536134152e-05,3.446450518749953e-05,3.791170604917459e-05,4.173829136798335e-05,3.392262395554026e-05
2.7323110307688764e-05,3.4306772898311886e-05,3.4206698412550704e-05,3.340798789329228e-05,3.6519571244002676e-05
2.5837261408781218e-05,2.8786142776744456e-05,2.9209246251523144e-05,3.262702194253999e-05,2.8079492556499836e-05
2.0801884584705645e-05,2.2555717353832643e-05,2.6107379392954315e-05,2.7160260287273987e-05,3.0189512228375545e-05
2.9634430817100505e-05,3.66727572361265e-05,3.679158746135806e-05,4.3039901285903825e-05,4.382348549280321e-05
2.7405657468739183e-05,3.0678930246996146e-05,2.5504238614899265e-05,2.880896618330659e-05,2.6294091295681927e-05
2.9304242172898826e-05,3.3675843741561324e-05,3.739472823941311e-05,3.549056376196505e-05,3.6357262038473776e-05
2.5837261408781218e-05,3.6436158802345034e-05,3.687775042965164e-05,3.826733158686207e-05,3.927882773799399e-05
4.366744819567177e-05,3.840781241719055e-05,4.6011025068770976e-05,4.277957930231973e-05,4.268732105410091e-05
3.755895827794075e-05,4.976453723870069e-05,4.411543976631225e-05,4.2258935335151535e-05,3.246184110578016e-05
3.211084564861308e-05,3.7855749405033806e-05,3.9721128383339734e-05,4.321344927495989e-05,4.0901919793282995e-05
2.9551883656050085e-05,3.604182807937593e-05,3.9721128383339734e-05,3.488314580026883e-05,3.0189512228375545e-05
3.4091977513823144e-05,4.219338735769393e-05,4.273683227361499e-05,4.000281147742271e-05,3.992806456010959e-05
5.7370276930041366e-05,5.425990748054845e-05,5.083615129321138e-05,5.1283430766066856e-05,4.982892609737254e-05
2.773584611294086e-05,3.3596977596967504e-05,4.170287665409204e-05,3.4796371805740794e-05,3.311107792789576e-05
6.207546510991525e-05,6.104239591561701e-05,5.738453688352335e-05,6.1002118153206426e-05,4.820583404208353e-05
2.699292166348709e-05,3.470110362128099e-05,3.170797233203693e-05,3.201960398084377e-05,2.483330844592182e-05
3.21933928096635e-05,4.250885193606921e-05,3.653309855647733e-05,4.0870551422703024e-05,3.814266329929168e-05
2.5176884120377865e-05,3.485883591046863e-05,3.860100979552322e-05,4.147796938439925e-05,3.944113694352289e-05
2.9634430817100505e-05,3.817121398340909e-05,3.9462639478459e-05,4.286635329684776e-05,3.5058788394242565e-05
5.010612675760447e-05,4.621556073197877e-05,4.30814841467893e-05,5.0328916826258504e-05,4.788121563102573e-05
4.3089618068318836e-05,5.8282080854833295e-05,5.307638846884442e-05,5.458084255813207e-05,4.869276165867023e-05
2.7488204629789603e-05,3.328151301859222e-05,3.868717276381679e-05,3.965571549931058e-05,3.311107792789576e-05
3.805424124424326e-05,4.321864723741359e-05,4.170287665409204e-05,4.1044099411759093e-05,4.1226538204340796e-05
3.615565654008362e-05,4.266658422525685e-05,3.773938011258743e-05,4.373409324212808e-05,4.739428801443903e-05
3.590801505693237e-05,4.227225350228775e-05,4.980219567368843e-05,4.156474337892728e-05,5.1614327358190445e-05
3.574292073483153e-05,3.7461418682064705e-05,4.988835864198201e-05,5.241149269493127e-05,5.226356418030605e-05
3.7228769633739074e-05,4.542689928604057e-05,4.54940472590095e-05,4.2606031313263667e-05,3.4734169983184764e-05
2.9551883656050085e-05,3.225625313887255e-05,3.696391339794522e-05,3.8787975554030265e-05,3.749342647717608e-05
3.491744912432733e-05,4.605782844279113e-05,4.558021022730308e-05,3.9048297537614355e-05,3.668188044953158e-05
2.558961992562996e-05,3.0521197957808506e-05,3.153564639544977e-05,2.9329610150474785e-05,3.213722269472236e-05
2.558961992562996e-05,2.58680954267731e-05,3.0501690775926824e-05,2.9329610150474785e-05,2.1911742746401605e-05
2.7653298951890442e-05,3.343924530777986e-05,3.412053544425713e-05,4.277957930231973e-05,4.18757750264564e-05
3.4174524674873564e-05,4.4717103984696185e-05,4.2822995241908564e-05,5.145697875512292e-05,4.7231978808910126e-05
5.778301273529346e-05,4.7556285190073715e-05,3.506832809548649e-05,3.167250800273165e-05,2.499561765145072e-05
3.6733486667436556e-05,4.7161954467104614e-05,4.807893630781686e-05,5.267181467851537e-05,5.3075110207950556e-05
1.915094136369726e-05,3.541089892262537e-05,3.82563579223489e-05,3.83541055813901e-05,3.5058788394242565e-05
2.7570751790840022e-05,3.296604844021694e-05,3.1104831553981874e-05,3.8787975554030265e-05,2.9702584611788844e-05
