0,1,2,3,4
5.341402694702364e-05,6.740218498625959e-05,7.532159266489831e-05,8.478551902923549e-05,8.329652905161209e-05
2.7530577765646546e-05,3.707120174244277e-05,2.995414688990164e-05,3.1340950613919736e-05,3.685421968830319e-05
4.988446569501767e-05,5.392174798900767e-05,5.9617476819707153e-05,5.179504469879367e-05,6.23225828875371e-05
3.6472132937395e-05,3.8034090099389337e-05,4.216845921393921e-05,3.496990279026834e-05,3.655459188595926e-05
5.459054736435896e-05,6.258774320152676e-05,6.543381602162981e-05,5.839313956488204e-05,6.292183849222496e-05
4.353125544140693e-05,4.30892539733588e-05,3.4607218251439764e-05,2.9691426897397644e-05,2.3370968582826413e-05
3.529561252005967e-05,2.9608816976106888e-05,3.40255843312475e-05,2.639237946435346e-05,2.936352462970498e-05
4.30606472744728e-05,4.6459363222671785e-05,4.275009313413147e-05,5.113523521218484e-05,4.4344914746901396e-05
6.235558211877209e-05,7.173518259251912e-05,7.095933826345632e-05,6.367161545775272e-05,7.61054617953578e-05
2.400101651364058e-05,2.9127372797633605e-05,3.7515387852401084e-05,3.233066484383299e-05,3.475682507189569e-05
5.8590716783299056e-05,5.247741545358782e-05,4.3913360974516e-05,4.6516568805922976e-05,4.044975331643033e-05
5.717889228249667e-05,5.873618977374049e-05,6.397973122114913e-05,6.532113917427481e-05,7.221030036488673e-05
2.941301043338306e-05,2.623870772679391e-05,3.3443950411055233e-05,2.6722284207657882e-05,3.206017485080034e-05
3.694274110432912e-05,4.1885643527175595e-05,3.896947265288175e-05,4.816609252244507e-05,4.194789232814997e-05
3.929578193899977e-05,4.044131099175575e-05,5.0602151056727044e-05,4.849599726574949e-05,5.483188782893889e-05
4.447247177527519e-05,4.670008531190843e-05,4.594907969518893e-05,4.453714034609647e-05,5.453226002659496e-05
4.353125544140693e-05,4.549647486572522e-05,3.7515387852401084e-05,3.859885496661694e-05,4.164826452580604e-05
4.2825343191005736e-05,3.586759129625956e-05,4.1005191373554676e-05,4.68464735492274e-05,4.044975331643033e-05
6.917940053931696e-05,7.269807094946569e-05,7.125015522355245e-05,6.829028186401459e-05,7.790322860942138e-05
4.094291052326922e-05,4.260780979488552e-05,4.7984798415861853e-05,4.189790239966112e-05,4.5543425956277114e-05
3.5530916603526736e-05,3.6349035474732845e-05,3.111741473028617e-05,3.496990279026834e-05,3.265943045548819e-05
2.6824665515245353e-05,3.9237700545572544e-05,2.8790879049517114e-05,3.892875970992136e-05,3.295905825783212e-05
4.188412685713748e-05,4.7903695758091635e-05,3.5770486091824295e-05,4.5526854576009726e-05,4.5243798153933185e-05
8.894494355055038e-05,9.556666942694663e-05,9.393387811105079e-05,7.785751941984272e-05,7.49069505859821e-05
3.529561252005967e-05,4.4774308598015294e-05,4.3913360974516e-05,4.453714034609647e-05,4.824007617737247e-05
4.423716769180812e-05,3.851553427786262e-05,4.013274049326628e-05,3.859885496661694e-05,3.2359802653144267e-05
4.353125544140693e-05,4.7903695758091635e-05,4.071437441345855e-05,4.750628303583623e-05,4.7041564967996755e-05
8.188582104653844e-05,7.51052918418321e-05,7.299505698412925e-05,7.290894827027644e-05,6.711662772503996e-05
3.835456560513151e-05,4.694080740114507e-05,4.071437441345855e-05,4.3547426116183214e-05,4.1049008921118184e-05
3.529561252005967e-05,3.851553427786262e-05,4.7984798415861853e-05,5.311466367201134e-05,4.404528694455747e-05
6.612044745424512e-05,7.606818019877867e-05,7.415832482451378e-05,7.983694787966922e-05,7.700434520238959e-05
3.6472132937395e-05,3.442325876083971e-05,4.187764225384307e-05,3.8268950223312524e-05,3.176054704845641e-05
4.1648822773670414e-05,3.827481218862598e-05,4.333172705432374e-05,4.222780714296554e-05,4.194789232814997e-05
4.094291052326922e-05,3.9478422634809186e-05,4.827561537595799e-05,5.0805330468880416e-05,4.7341192770340685e-05
