,super bc,s,s std,pval tot,pval indiv,pval,stderr,corrected pval tot,corrected pval indiv,corrected pval
3247,3336,0.0777195543910878,0.1003003003003003,0.17443196544511808,0.1495463288091914,0.1495463288091914,0.1003003003003003,0.3495048544387874,0.3662314649303016,0.29825861418540334
3248,3337,0.08277165543310866,0.1015015015015015,0.15542472733982923,0.3481723475213203,0.15542472733982923,0.1015015015015015,0.33920576918052164,0.4371756256460644,0.29825861418540334
3249,3338,-0.03341466829336587,0.0888888888888889,0.418637551966432,0.38497389302317303,0.38497389302317303,0.0888888888888889,0.47847604969903007,0.4577528191970063,0.4237999686802593
3250,3339,0.02443848876977539,0.10390390390390392,0.6492548561118755,0.4602118561864858,0.4602118561864858,0.10390390390390392,0.6821557260803663,0.5020714221643153,0.485387044638405
3251,3340,0.0902838056761135,0.1183183183183183,0.18100507181434533,0.21600152714176452,0.18100507181434533,0.1183183183183183,0.35190081059502104,0.3662314649303016,0.29825861418540334
3252,3341,0.08197963959279186,0.1099099099099099,0.18924862266961817,0.13989364976364774,0.13989364976364774,0.1099099099099099,0.35515553229151214,0.3662314649303016,0.29825861418540334
3253,3342,0.05296305926118522,0.09909909909909914,0.3254031785259967,0.17735820600436633,0.17735820600436633,0.09909909909909914,0.4120524705497736,0.3662314649303016,0.29825861418540334
3254,3343,0.08089961799235984,0.10270270270270271,0.16962418522481418,0.24565606528743422,0.16962418522481418,0.10270270270270271,0.34704774026650254,0.3769345204075692,0.29825861418540334
3255,3344,0.10419208384167683,0.1069069069069069,0.10042257472540544,0.17364202086531697,0.10042257472540544,0.1069069069069069,0.2861488558819219,0.3662314649303016,0.2747636228892725
3256,3345,0.030006600132002625,0.12312312312312312,0.6391484173469957,0.5287861715768643,0.5287861715768643,0.12312312312312312,0.6732515624135064,0.553889754741341,0.5463991344668525
3257,3347,0.10484009680193601,0.10870870870870875,0.1032648042565796,0.14867115959879582,0.1032648042565796,0.10870870870870875,0.2909857991199563,0.3662314649303016,0.2795446798885033
3258,3348,0.022662453249064962,0.11351351351351352,0.6983119238916182,0.6138643226527822,0.6138643226527822,0.11351351351351352,0.7259347437583313,0.6250750728690473,0.6227696570605802
3259,3349,0.09681193623872475,0.12912912912912916,0.18841735771775672,0.18170998630652274,0.18170998630652274,0.12912912912912916,0.35515553229151214,0.3662314649303016,0.29825861418540334
3260,3350,0.10342406848136959,0.11891891891891893,0.1354563638477705,0.13243970615340445,0.13243970615340445,0.11891891891891893,0.3279634684465338,0.3662314649303016,0.29825861418540334
3261,3351,0.08011960239204785,0.10870870870870875,0.19352523976088332,0.3478025065782162,0.19352523976088332,0.10870870870870875,0.3573303577969284,0.43710286085225697,0.2992822860769882
3262,3352,0.055783115662313254,0.11351351351351352,0.3665205670027836,0.3329540964740174,0.3329540964740174,0.11351351351351352,0.44082369856708226,0.4275852888482499,0.3821331299170503
3263,3353,0.07621952439048779,0.11231231231231231,0.22646306384538192,0.14370556321427777,0.14370556321427777,0.11231231231231231,0.3660023441332825,0.3662314649303016,0.29825861418540334
3264,3354,0.07031540630812616,0.10870870870870869,0.24650743034500674,0.14236359534852439,0.14236359534852439,0.10870870870870869,0.37295815662646564,0.3662314649303016,0.29825861418540334
3265,3355,0.0777195543910878,0.11711711711711709,0.23931031970471053,0.3495227323138477,0.23931031970471053,0.11711711711711709,0.3700878482389939,0.43817811771565174,0.31606734286223936
3266,3356,0.05651513030260602,0.09789789789789793,0.29161283551700296,0.28055177524348385,0.28055177524348385,0.09789789789789793,0.39358459470906304,0.40165045963033114,0.3449106719660278
3267,3357,0.11723634472689454,0.12252252252252249,0.10487637433159194,0.13406321055098505,0.10487637433159194,0.12252252252252249,0.2931706778402089,0.3662314649303016,0.2817186982370758
3268,3358,0.044298885977719527,0.10390390390390392,0.4248941624472138,0.184598754402319,0.184598754402319,0.10390390390390392,0.4840180326496974,0.3662314649303016,0.2984539422664452
3269,3359,0.10433608672173444,0.12312312312312312,0.14387387257110187,0.2094934789502643,0.14387387257110187,0.12312312312312312,0.33312210899459394,0.3662314649303016,0.29825861418540334
3270,3360,0.04205484109682195,0.11231231231231231,0.48168457325379976,0.34727501944883643,0.34727501944883643,0.11231231231231231,0.5329660899021662,0.4367134197640656,0.3931019836065567
3271,3361,0.08225564511290223,0.11891891891891887,0.21992441458915973,0.13827745611197012,0.13827745611197012,0.11891891891891887,0.36530118139890216,0.3662314649303016,0.29825861418540334
3272,3363,-0.051619032380647606,0.09669669669669667,0.23283763689071388,0.2747318766905878,0.23283763689071388,0.09669669669669667,0.36892783786908045,0.39764384460974933,0.31221582379300794
3273,3364,0.08436768735374706,0.10870870870870875,0.1758379217570235,0.1556036419556104,0.1556036419556104,0.10870870870870875,0.3495048544387874,0.3662314649303016,0.29825861418540334
3274,3365,0.0886997739954799,0.12072072072072071,0.19844997886090182,0.19144206954105242,0.19144206954105242,0.12072072072072071,0.3579036387662329,0.3662314649303016,0.2989709857584739
3275,3366,0.06121922438448768,0.10210210210210213,0.27965299931772364,0.18123564360713257,0.18123564360713257,0.10210210210210213,0.3882396619060995,0.3662314649303016,0.29825861418540334
3276,3367,-0.09421988439768797,0.0966966966966967,0.01576311595202175,0.03286483426934682,0.01576311595202175,0.0966966966966967,0.05854060883712128,0.12474729180802664,0.05680228508125916
3277,3368,0.10625612512250243,0.12672672672672675,0.1480976600910169,0.16941391114355028,0.1480976600910169,0.12672672672672675,0.33573893162055357,0.3662314649303016,0.29825861418540334
3278,3369,0.0661873237464749,0.11171171171171168,0.2829560481593269,0.1495463288091914,0.1495463288091914,0.11171171171171168,0.3889106321311972,0.3662314649303016,0.29825861418540334
3279,3370,0.07103542070841418,0.09549549549549552,0.1877747561260359,0.26635340297659194,0.1877747561260359,0.09549549549549552,0.35515553229151214,0.39263098988260753,0.2988966859437744
3280,3371,0.0887957759155183,0.11771771771771772,0.1883890037184566,0.17397058031296775,0.17397058031296775,0.11771771771771772,0.35515553229151214,0.3662314649303016,0.29825861418540334
3281,3372,0.06810736214724294,0.10330330330330328,0.23886323391982645,0.22724162924921013,0.22724162924921013,0.10330330330330328,0.37000605687123195,0.36841269989430103,0.3094626363942543
3282,3373,-0.0025020500410008473,0.1105105105105105,0.9632898748330313,0.5847575793863478,0.5847575793863478,0.1105105105105105,0.9672752551864413,0.6000942623307295,0.5968288471016233
3283,3374,0.07080741614832298,0.1003003003003003,0.2097300904886879,0.15124325070985953,0.15124325070985953,0.1003003003003003,0.36137400109210815,0.3662314649303016,0.29825861418540334
