,super bc
7500,130383
7503,130386
7523,130406
7549,130432
7558,130441
7559,130442
7573,130456
7574,130457
7591,130474
7641,130524
7647,130530
7653,130536
7655,130538
7715,130598
7722,130605
7742,130625
7762,130645
7793,130676
7800,130683
7804,130687
7817,130700
7858,130741
7861,130744
7869,130752
7891,130774
7892,130775
7917,130801
7968,130852
7996,130880
7998,130882
8081,130966
8085,130970
8096,130981
8099,130984
8115,131000
8136,131022
8155,131041
8185,131071
8242,131129
8247,131134
8270,131157
8337,131226
8351,131241
8423,131314
8493,131387
8501,131395
8519,131415
8555,131453
8591,131489
8615,131515
8666,131566
8710,131611
8741,131642
8803,131705
8811,131713
9071,131987
9085,132002
9114,132033
9386,132326
9584,132540
9696,132659
10332,133492
10401,133601
10501,133786
10704,332855
10745,397030
10746,397139
10751,397471
10760,398025
10785,399496
10793,400312
10806,401145
10809,401260
10813,401377
10816,401473
10845,403001
10855,403365
10865,403623
10874,404175
10875,404204
10882,404496
10894,405076
10903,405391
10912,405658
10939,406499
10945,406629
10946,406664
10947,406702
10965,407019
10966,407020
10980,407034
10993,407047
10996,407050
11001,407055
11022,407076
11031,407085
11041,407095
11056,407110
11089,407143
11094,407148
11098,407152
11106,407160
11110,407164
11119,407173
11120,407174
11133,407187
11141,407195
11143,407197
11147,407201
11166,407220
11172,407226
11180,407234
11195,407249
11220,407274
11223,407277
11225,407279
11227,407281
11228,407282
11234,407288
11235,407289
11250,407304
11251,407305
11263,407317
11268,407322
11287,407341
11290,407344
11296,407350
11314,407368
11321,407375
11334,407388
11337,407391
11345,407399
11354,407408
11360,407414
11369,407423
11382,407436
11388,407442
11406,407460
11408,407462
11437,407491
11440,407494
11448,407502
11456,407510
11457,407511
11459,407513
11462,407516
11465,407519
11469,407523
11492,407546
11494,407548
11498,407552
11499,407553
11518,407572
11526,407580
11547,407601
11563,407617
11567,407621
11568,407622
11573,407627
11575,407629
11613,407667
11617,407671
11622,407676
11624,407678
11635,407689
11652,407706
11656,407710
11657,407711
11660,407714
11669,407723
11670,407724
11724,407778
11729,407783
11742,407796
11750,407804
11755,407809
11767,407821
11777,407831
11778,407832
11782,407836
11795,407849
11799,407853
11805,407859
11807,407861
11809,407863
11819,407873
11822,407876
11825,407879
11835,407889
11836,407890
11845,407899
11847,407901
11864,407918
11866,407920
11892,407946
11895,407949
11901,407955
11921,407975
11951,408005
11956,408010
11971,408025
11974,408028
11978,408032
11979,408033
11983,408037
11986,408040
12032,408086
12037,408091
12042,408096
12044,408098
12052,408106
12057,408111
12068,408122
12074,408128
12079,408134
12081,408136
12100,408155
12149,408204
12160,408215
12169,408224
12170,408225
12187,408242
12193,408248
12195,408250
12200,408255
12207,408262
12218,408273
12242,408297
12274,408329
12278,408333
12283,408338
12307,408362
12328,408383
12333,408388
12343,408398
12361,408416
12375,408430
12379,408434
12418,408474
12436,408492
12454,408510
12484,408540
12486,408542
12530,408586
12531,408587
12541,408597
12550,408606
12589,408646
12607,408665
12617,408675
12625,408683
12634,408692
12657,408716
12664,408723
12679,408739
12696,408757
12698,408759
12711,408772
12718,408779
12927,408996
13024,409102
13037,409115
13060,409140
13065,409146
13097,409179
13104,409186
13151,409237
13167,409254
13171,409259
13199,409290
13290,409388
13367,409477
13594,409746
13827,410065
13903,410169
14183,410687
14323,411092
14610,426009
14634,469166
14799,950333
